HE Provider,Academic Year,Region of HE provider,Category marker,Category,Value
The University of West London,2022/23,London,Energy consumption,Onsite photovoltaic (kWh),111855
The University of West London,2022/23,London,Energy consumption,Onsite wind (kWh),0
The University of West London,2022/23,London,Energy consumption,Non-residential energy consumption total (kWh),11309257.74
The University of West London,2022/23,London,Energy consumption,Residential energy consumption total (kWh),0
The University of West London,2022/23,London,Total percentage of renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),0.0%
The University of West London,2022/23,London,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
The University of West London,2022/23,London,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),2589818
The University of Westminster,2022/23,London,Energy consumption,Total energy consumption (kWh),31613149
The University of Westminster,2022/23,London,Energy consumption,Burning oil (kWH),0
The University of Westminster,2022/23,London,Energy consumption,Fuel oil (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Gas oil (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Compressed natural gas (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Liquefied natural gas (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Liquefied petroleum gas (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Natural gas excluding that used as input for a CHP unit (kWh),19165268
The University of Westminster,2022/23,London,Energy consumption,Natural gas used as input for a CHP unit (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Other petroleum gas (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Grid electricity (kWh),12447881
The University of Westminster,2022/23,London,Energy consumption,Coal (industrial) (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Steam and hot water (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Other onsite renewables (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Lubricants (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Biofuels (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Heat consumed from onsite CHP (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Electricity consumed from onsite CHP (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Petroleum coke (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Biomass (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Onsite photovoltaic (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Onsite wind (kWh),0
The University of Westminster,2022/23,London,Energy consumption,Non-residential energy consumption total (kWh),28418455
The University of Westminster,2022/23,London,Energy consumption,Residential energy consumption total (kWh),3194694
The University of Westminster,2022/23,London,Total percentage of renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),100.0%
The University of Westminster,2022/23,London,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
The University of Westminster,2022/23,London,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),299956
The University of Winchester,2022/23,South East,Energy consumption,Total energy consumption (kWh),10735181
The University of Winchester,2022/23,South East,Energy consumption,Burning oil (kWH),0
The University of Winchester,2022/23,South East,Energy consumption,Fuel oil (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Gas oil (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Compressed natural gas (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Liquefied natural gas (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Liquefied petroleum gas (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Natural gas excluding that used as input for a CHP unit (kWh),5077009
The University of Winchester,2022/23,South East,Energy consumption,Natural gas used as input for a CHP unit (kWh),80116
The University of Winchester,2022/23,South East,Energy consumption,Other petroleum gas (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Grid electricity (kWh),5376238
The University of Winchester,2022/23,South East,Energy consumption,Coal (industrial) (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Steam and hot water (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Other onsite renewables (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Lubricants (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Biofuels (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Heat consumed from onsite CHP (kWh),46089
The University of Winchester,2022/23,South East,Energy consumption,Electricity consumed from onsite CHP (kWh),23238
The University of Winchester,2022/23,South East,Energy consumption,Petroleum coke (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Biomass (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Onsite photovoltaic (kWh),212607
The University of Winchester,2022/23,South East,Energy consumption,Onsite wind (kWh),0
The University of Winchester,2022/23,South East,Energy consumption,Non-residential energy consumption total (kWh),6192313
The University of Winchester,2022/23,South East,Energy consumption,Residential energy consumption total (kWh),4542868
The University of Winchester,2022/23,South East,Total percentage of renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),53.0%
The University of Winchester,2022/23,South East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),69327
The University of Winchester,2022/23,South East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),216.209
University of Worcester,2022/23,West Midlands,Energy consumption,Total energy consumption (kWh),12550129
